Article;News_Source;Title;Published_Date;Authors;Keywords;Summary;Text
Article 1;www.bbc.co.uk;Israel-Gaza: Why this war is different to the others;None;;war, israel, gaza, israelgaza, egypt, allies, different, way, thousands, jordan, israels, palestinians;"Neither Israel nor Hezbollah want a full-scale war.
They have all been brought down, so far, by Israel's air defences or by US Navy warships in the Red Sea.
The US continues to give strong support to Israel, even though it is clear that President Joe Biden is uncomfortable about the way Israel is killing so many Palestinian civilians.
All that can be dismissed as the ravings of the lunatic fringe, but it is being taken seriously in Jordan and Egypt.
As for the war itself in Gaza, senior western diplomats from countries that are firm allies of Israel's allies, told the BBC that ending the war, and dealing with the aftermath will be ""difficult and messy"".";"The border between Israel and Lebanon is heating up, slowly and steadily. Neither Israel nor Hezbollah want a full-scale war. But as they trade increasingly heavy punches, the risks of uncontrolled escalation will grow.

The Houthis in Yemen have been launching missiles and drones towards Israel. They have all been brought down, so far, by Israel's air defences or by US Navy warships in the Red Sea.

In Iraq, militias supported by Iran have attacked American bases. The US retaliated at some of their sites in Syria. Again, all sides are trying to limit escalation, but controlling the tempo of military action is always difficult.

On America's side are Israel, the Gulf oil states, Jordan and Egypt. The US continues to give strong support to Israel, even though it is clear that President Joe Biden is uncomfortable about the way Israel is killing so many Palestinian civilians. The US Secretary of State, Antony Blinken, has said publicly that too many Palestinian civilians are being killed.

America's Arab allies have all condemned what Israel is doing and called for a ceasefire. The sight of hundreds of thousands of Palestinians fleeing their homes in northern Gaza and walking down the main road south raises the ghosts of Israel's victory over the Arabs in its independence war in 1948.

More than 700,000 Palestinians fled or were forced from their homes at gunpoint by the Israelis, events referred to by Palestinians as al Nakba - the catastrophe. The descendants of the 1948 refugees include much of the population of the Gaza Strip.

Dangerous talk by some of the extreme Jewish nationalists who are supporting the government of Benjamin Netanyahu about imposing another Nakba on Palestinians is alarming Arab states in America's camp, particularly Jordan and Egypt. One minister in Netanyahu's government even mused about dropping a nuclear bomb on Gaza to deal with Hamas. He was reprimanded but not sacked.

All that can be dismissed as the ravings of the lunatic fringe, but it is being taken seriously in Jordan and Egypt. Not nuclear weapons, of which Israel has a large and undeclared arsenal, but the prospect of hundreds of thousands of Palestinians being forced over their borders.

As for the war itself in Gaza, senior western diplomats from countries that are firm allies of Israel's allies, told the BBC that ending the war, and dealing with the aftermath will be ""difficult and messy"".

One said that ""the only way through will be rebuilding a political horizon for Palestinians"". That was a reference to an independent Palestine alongside Israel, the so called two-state solution, a failed idea that survives only as a slogan.

Reviving it, perhaps in the context of a wider accommodation between Israel and the Arabs, is an ambitious plan, and perhaps the best idea around. But in the current atmosphere of pain, alarm and hatred it will be very difficult to deliver."
Article 2;www.bbc.co.uk;Bowen: Five new realities after four weeks of Israel-Gaza war;None;;unknowns, realities, war, unknown, bowen, things, israelgaza, shape, world, way, work, talked, understand, weeks;"Not only is it, as ever, hard to penetrate the fog of war to work out what is happening on the battlefield.
Fears that the war could spread are very real.
New realities in the Middle East are out there somewhere, but their shape and the way that they will work depend on the way this war goes for the rest of the year, and probably beyond.
Some people mocked Donald Rumsfeld, US defence secretary at the time of the invasion of Iraq in 2003, when he talked of ""unknown unknowns"".
But in this part of the world as much as any other, they exist - and when they emerge, they can make a big difference.";"One of the first things to understand about the reportage, analysis and commentary that has poured out since the Hamas attacks of 7 October is that no-one has the full story. Not only is it, as ever, hard to penetrate the fog of war to work out what is happening on the battlefield. The new shape of the conflict between Israelis and Palestinians has not yet emerged.

Events are still moving fast. Fears that the war could spread are very real. New realities in the Middle East are out there somewhere, but their shape and the way that they will work depend on the way this war goes for the rest of the year, and probably beyond.

Here are a few things that we know, and a few that we do not. The list is not exhaustive. Some people mocked Donald Rumsfeld, US defence secretary at the time of the invasion of Iraq in 2003, when he talked of ""unknown unknowns"". But in this part of the world as much as any other, they exist - and when they emerge, they can make a big difference."
Article 3;www.bbc.co.uk;How Hamas built a force to attack Israel on 7 October;None;;hamas, exercises, ultimately, force, bbc, israel, deadly, war, verify, built, groups, used, attack;"Five armed Palestinian groups joined Hamas in the deadly 7 October attack on Israel after training together in military-style exercises from 2020 onwards, BBC News analysis shows.
The groups carried out joint drills in Gaza which closely resembled the tactics used during the deadly assault - including at a site less than 1km (0.6 miles) from the barrier with Israel - and posted them on social media.
They practised hostage-taking, raiding compounds and breaching Israel's defences during these exercises, the last of which was held just 25 days before the attack.
BBC Arabic and BBC Verify have collated evidence which shows how Hamas brought together Gaza's factions to hone their combat methods - and ultimately execute a raid into Israel which has plunged the region into war.";"Five armed Palestinian groups joined Hamas in the deadly 7 October attack on Israel after training together in military-style exercises from 2020 onwards, BBC News analysis shows.

The groups carried out joint drills in Gaza which closely resembled the tactics used during the deadly assault - including at a site less than 1km (0.6 miles) from the barrier with Israel - and posted them on social media.

They practised hostage-taking, raiding compounds and breaching Israel's defences during these exercises, the last of which was held just 25 days before the attack.

BBC Arabic and BBC Verify have collated evidence which shows how Hamas brought together Gaza's factions to hone their combat methods - and ultimately execute a raid into Israel which has plunged the region into war."
Article 4;www.bbc.co.uk;Thousands more flee northern Gaza as Israeli forces push on Gaza City;None;;release, hamas, military, war, israel, gaza, push, thousands, forces, flee, city, northern, israeli, continued, today;"Palestinians have continued to flee Gaza City as Israel steps up its ground offensive.
The Israeli military said 50,000 Palestinians have fled the city today, as its forces once again opened a safe passage on the main north-south road for several hours.
Yesterday, Israel said it had surrounded Gaza City and cut the strip in half – today it said Hamas had “lost control” of northern Gaza.
And UN Secretary-General Anontio Guterres said the number of civilians killed in Gaza showed something was ""clearly wrong"" with Israeli military operations, but also said Hamas was using people as human shields.
We continued to hear about the dire humanitarian situation in Gaza, with people there struggling to find enough food and water.";"What's happened today?

We're pausing our live coverage for the next few hours, so until then, here's a quick recap on where things stand in the war between Israel and Hamas.

Palestinians have continued to flee Gaza City as Israel steps up its ground offensive.

The Israeli military said 50,000 Palestinians have fled the city today, as its forces once again opened a safe passage on the main north-south road for several hours.

Yesterday, Israel said it had surrounded Gaza City and cut the strip in half – today it said Hamas had “lost control” of northern Gaza.

Hamas-run authorities in Gaza reported several airstrikes in both the north and south of the territory, with the number of people killed since the Hamas attacks on Israel on 7 October rising by more than 200 to 10,569 in the last 24 hours.

Strong words from the UN continued, with both Israel and Hamas accused of committing war crimes by the UN commissioner for human rights.

And UN Secretary-General Anontio Guterres said the number of civilians killed in Gaza showed something was ""clearly wrong"" with Israeli military operations, but also said Hamas was using people as human shields.

Meanwhile, as families of some 239 people taken hostage in Gaza during the Hamas attacks continue to push for their release, the BBC heard from a source close to talks about the captives.

Discussions are taking place over a possible release of 12 hostages, half of them Americans, in exchange for a three-day humanitarian pause in fighting, the source said, adding that disagreement remained over the length of the pause and the situation in the north of Gaza.

But Israel's PM Benjamin Netanyahu dismissed ""false rumours"" and said there would be no ceasefire ""without the release of our hostages"".

The BBC's International editor, Jeremy Bowen, has travelled with Israeli forces into Gaza - he didn't see a single building that wasn't badly damaged and was shown a building containing both a family apartment and what the military said were weapons-making workshops.

We continued to hear about the dire humanitarian situation in Gaza, with people there struggling to find enough food and water.

However, a convoy carrying medical supplies reached Gaza City’s largest hospital, Al-Shifa - where medical conditions are “disastrous” - Unrwa and the World Health Organization said. It was just the second delivery to the hospital during the month-long conflict."
Article 5;www.bbc.co.uk;Israel's Palestinian prisoner release a 'window of hope' in West Bank;None;;prisoners, security, west, told, zughary, hope, window, occupied, israels, lawyers, release, prisoner, palestinian, palestinians, israeli, bank;"The return of 39 Palestinians from Israeli prisons to their homes in the occupied West Bank was never just going to be a family affair.
A quarter of the population of the West Bank has spent time in an Israeli jail; it is a shared experience.
And more than 3,000 people have been arrested since the 7 October attacks - including almost 900 children - according to the Palestinian Prisoners' Club president, Abdallah Zughary.
""Most of them are civilians, not affiliated with any kind of political party or militant group,"" Mr Zughary told me.
A spokesperson for the IPS told the BBC that over the past few weeks, ""four national security prisoners died"" in different circumstances and on different days.";"By nightfall, the road in front of the Beitunia checkpoint had the feel of a restive festival, the sting of politics and tear gas mingling in the air.

Small campfires flickered in front of a handful of green Hamas flags; there were many more Palestinian ones.

The return of 39 Palestinians from Israeli prisons to their homes in the occupied West Bank was never just going to be a family affair.

Israel's jailing of large numbers of people on security grounds is widely seen by Palestinians as a tool of the occupation.

Charges range from murder and violent attacks on Israelis to stone-throwing. Many Palestinians say Israel is criminalising acts of resistance by an occupied people - the Israeli Prison Service (IPS) told the BBC all prisoners are detained ""according to and under the provisions of the law"".

A quarter of the population of the West Bank has spent time in an Israeli jail; it is a shared experience.

And more than 3,000 people have been arrested since the 7 October attacks - including almost 900 children - according to the Palestinian Prisoners' Club president, Abdallah Zughary. Many of these detainees have been placed in administrative detention without charge, he says.

""Most of them are civilians, not affiliated with any kind of political party or militant group,"" Mr Zughary told me.

""Since 7 October, there have been no visits by families or lawyers to prisoners. And six prisoners have died."" He accuses Israel of using the justice system as a ""revenge policy"".

A spokesperson for the IPS told the BBC that over the past few weeks, ""four national security prisoners died"" in different circumstances and on different days. ""We have no knowledge of the causes of death,"" they added.They refused to comment on the suggestion that families and lawyers had not been allowed to visit prisoners."
Article 6;www.bbc.co.uk;Israel Gaza war: Hamas-run health ministry says Gaza death toll passes 10,000;None;;hamas, death, war, israel, territory, information, gaza, 10000, hamasrun, world, ministry, passes, health, toll, killed, city;"The Hamas-run health ministry in Gaza says more than 10,000 people have been killed in the Palestinian territory since Israel started bombing it last month.
Israel began bombing Gaza after Hamas killed 1,400 people and kidnapped more than 200 others on 7 October.
However, World Health Organization (WHO) regional emergency director Richard Brennan, based in Cairo, said last week he believed the figures provided by the health ministry were trustworthy.
The Hamas-run health ministry said ""more than 200 martyrs were reported in the overnight massacres"".
Communications were restored on Monday morning, but getting information from Gaza City remains difficult.";"The Hamas-run health ministry in Gaza says more than 10,000 people have been killed in the Palestinian territory since Israel started bombing it last month.

More than 4,000 of those killed were children, the ministry said.

The number surpasses the UN's figure of about 5,400 killed in Gaza in all of Israel's previous conflicts with Hamas since it took control of the territory in 2007.

Israel began bombing Gaza after Hamas killed 1,400 people and kidnapped more than 200 others on 7 October.

It says it is destroying Hamas infrastructure and killing its fighters so that it will no longer be able to pose a threat to Israel.

US President Joe Biden has previously questioned the accuracy of the health ministry's figures, while the Israel Defense Forces (IDF) say that ""any information provided by a terrorist organisation should be viewed with caution"".

Hamas is a proscribed terror organisation in many countries including the UK and US.

However, World Health Organization (WHO) regional emergency director Richard Brennan, based in Cairo, said last week he believed the figures provided by the health ministry were trustworthy.

""We're confident that the information management systems that the ministry of health has put in place over the years stand up to analysis,"" he said, adding ""the data over the years has been quite solid"".

On Sunday night, the Israeli military carried out one of its heaviest bombardments of the besieged Gaza Strip, saying on Monday that it had hit 450 targets over the past 24 hours.

The Hamas-run health ministry said ""more than 200 martyrs were reported in the overnight massacres"".

The director of Al-Shifa hospital in Gaza City told the BBC that people were using donkeys and their own cars to carry dead bodies, because communications had been cut and they could not reach ambulance services.

The Palestine Red Crescent Society (PRCS) charity said this was the ""third communications blackout"" in Gaza since the war began - and it had lost contact with its teams.

Communications were restored on Monday morning, but getting information from Gaza City remains difficult.

The Israeli military says its troops have reached the coastline in the south of Gaza City, in effect dividing the territory in two.

The heads of all major UN agencies have issued a rare joint statement calling for an ""immediate humanitarian ceasefire"", saying ""enough is enough"".

""For almost a month, the world has been watching the unfolding situation in Israel and the occupied Palestinian territory in shock and horror at the spiralling numbers of lives lost and torn apart,"" the UN chiefs wrote."
Article 7;www.bbc.co.uk;Israel-Gaza live news: Firing outside Gaza hospitals, with patients and staff trapped inside;None;;outside, live, hospitals, hamas, bbc, israel, tanks, gaza, israelgaza, inside, firing, told, patients, killed, hospital, trapped, staff, israeli;"Israel tanks seen outside Gaza hospitals on 35th day of warWe're pausing our live coverage for the next few hours, so here's a quick recap on where things stand in the Israel-Gaza war.
On Friday, eyewitnesses told the BBC that Israeli forces were close to key Gaza hospitals - Al-Shifa, Al-Quds, Al-Rantisi and the Indonesian Hospital - and there were reports of explosions inside or near them throughout the day.
Israel has repeatedly accused Hamas of operating from tunnels underneath Al-Shifa, which Hamas denies.
And the International Committee of the Red Cross warned that hospitals in northern Gaza have ""reached a point of no return"", risking the lives of thousands of people.
The Hamas-run health ministry says 11,078 people have been killed in Gaza since the start of the war and more than 27,000 others are injured.";"Israel tanks seen outside Gaza hospitals on 35th day of war

We're pausing our live coverage for the next few hours, so here's a quick recap on where things stand in the Israel-Gaza war.

On Friday, eyewitnesses told the BBC that Israeli forces were close to key Gaza hospitals - Al-Shifa, Al-Quds, Al-Rantisi and the Indonesian Hospital - and there were reports of explosions inside or near them throughout the day.

Israel has repeatedly accused Hamas of operating from tunnels underneath Al-Shifa, which Hamas denies.

A video verified by the BBC showed a woman filming herself at the Al-Rantisi Hospital in Gaza City, where she claimed that the children’s hospital was being “besieged” by tanks and full of people told to evacuate.

And the International Committee of the Red Cross warned that hospitals in northern Gaza have ""reached a point of no return"", risking the lives of thousands of people.

In an exclusive interview with the BBC this evening, French President Emmanuel Macron said Israel must stop killing babies and women in Gaza, but Israeli PM Benjamin Netanyahu responded that world leaders should be condeming Hamas, not Israel.

The Hamas-run health ministry says 11,078 people have been killed in Gaza since the start of the war and more than 27,000 others are injured.

Away from Gaza, in the West Bank, dozens of people attended the funerals of 11 Palestinians killed in a reported Israeli raid on the Jenin refugee camp.

It all comes after Israel launched a retaliatory offensive in Gaza as a response to Hamas's deadly 7 October attacks, which killed around 1,200 people while more than 240 others were taken hostage.

Israel revised the death toll down from 1,400 on Friday because, according to Foreign Ministry spokesman Lior Haiat, many poeple killed were not immediately identified after the attack, and ""now we think those belong to terrorists... not Israeli casualties""."
Article 8;www.bbc.co.uk;South African divisions exposed by Israel-Hamas conflict;None;;party, war, israel, countrys, exposed, african, israelhamas, divisions, palestinians, jewish, conflict, position, palestinian, south;"The war between Israel and Hamas has exposed deep divisions in South Africa, with the government's staunch support for the Palestinians coming in for criticism from leaders of the country's Jewish community, among others.
This has been sharply criticised by the country's Jewish Board of Deputies which has called for an urgent meeting with President Cyril Ramaphosa.
South African sympathy for the Palestinian fight for an independent state goes back to the days of late anti-apartheid icon Nelson Mandela.
The government has not commented on the South African hostage, or named them.
Its pro-Palestinian position has been condemned by the country's Jewish Board of Deputies, the South African Zionist Federation and the largest opposition party, the Democratic Alliance (DA).";"The war between Israel and Hamas has exposed deep divisions in South Africa, with the government's staunch support for the Palestinians coming in for criticism from leaders of the country's Jewish community, among others.

The government has announced the withdrawal of its diplomats from Israel, and suggested that the position of Israel's ambassador to Pretoria was becoming ""untenable"".

This has been sharply criticised by the country's Jewish Board of Deputies which has called for an urgent meeting with President Cyril Ramaphosa.

South African sympathy for the Palestinian fight for an independent state goes back to the days of late anti-apartheid icon Nelson Mandela.

He famously said in 1997, three years after he became the country's first democratically elected president after decades of struggle against white-minority rule: ""We know too well that our freedom is incomplete without the freedom of the Palestinians.""

The unprecedented Hamas attack on Israel, which killed some 1,400 people, has not changed the position of the country's ruling party, the African National Congress (ANC), even though two South African nationals were among the dead and another is among the more than 230 people taken hostage.

President Ramaphosa has pledged the ANC's solidarity with the Palestinians, saying their history had echoes of apartheid, external - and South Africa's struggle against white-minority rule.

Although he did condemn the Hamas assault, a week later he led 60 party leaders as they waved Palestinian flags, while wearing the traditional chequered black and white Palestinian scarf, the keffiyeh.

""They are people who have been under occupation for almost 75 years,"" he said of the Palestinians. ""They have been waiting and waging a war against a government that has been dubbed an apartheid state.

""We have always pledged our solidarity, and have always insisted that the only solution, especially with the issues of Palestine, is a two-state solution.""

South Africa's foreign ministry has gone even further, suggesting that the Israeli air strikes on the Gaza Strip, which the Hamas-run health ministry says has killed more than 10,000 people, might amount to a genocide, external.

In the statement announcing the withdrawal of its diplomats, Foreign Minister Naledi Pandor accused the Israelis of imposing ""collective punishment"" on Palestinian civilians - an allegation rejected by Israel.

The government has not commented on the South African hostage, or named them.

Its pro-Palestinian position has been condemned by the country's Jewish Board of Deputies, the South African Zionist Federation and the largest opposition party, the Democratic Alliance (DA).

Because of the passionate views on both sides, some South African talk radio stations have deliberately limited airtime around taking calls from listeners keen to discuss the war between Israel and Hamas.

Large pro-Palestinian protest marches have been held around South Africa since the conflict began.

Smaller pro-Israel marches and rallies have been held in Johannesburg and Cape Town. Last Friday members of the Jewish community hung up 221 big red balloons across Johannesburg's Nelson Mandela Bridge to bring attention to the Israeli hostages and call for their release."
Article 9;www.bbc.co.uk;West Bank: Eight Palestinians killed during Israeli raid;None;;towns, israel, west, jenin, killed, forces, palestinian, palestinians, israeli, raid, bank;"Eight Palestinians have been killed by Israeli forces in the occupied West Bank in the past 24 hours, according to the Palestinian health ministry.
The most serious incident was an Israeli raid overnight in the city of Jenin, in which five were killed.
Israeli forces have gone into West Bank towns and cities in search of those suspected of being involved in shootings and stabbings or planning such attacks.
Back in July, Israeli forces launched an incursion into the city's refugee camp, which is regarded as a hotbed of militants.
Thirteen Palestinians were killed in the fiercest confrontation in the West Bank for 20 years.";"Eight Palestinians have been killed by Israeli forces in the occupied West Bank in the past 24 hours, according to the Palestinian health ministry.

The most serious incident was an Israeli raid overnight in the city of Jenin, in which five were killed.

The Israeli army said it was mounting a raid to capture a Palestinian who was suspected of involvement in an ambush that killed two Israelis in August.

Palestinian factions have called for a strike in Jenin to mourn those killed.

The West Bank has seen almost daily clashes for more than a year and a half, after Israel suffered a wave of deadly violence by Palestinian militants.

Israeli forces have gone into West Bank towns and cities in search of those suspected of being involved in shootings and stabbings or planning such attacks.

Jenin has been a flashpoint, and hundreds of Palestinians - both fighters and civilians - have been killed.

Back in July, Israeli forces launched an incursion into the city's refugee camp, which is regarded as a hotbed of militants.

Thirteen Palestinians were killed in the fiercest confrontation in the West Bank for 20 years.

In addition, Israeli settlers have responded to killings carried out by Palestinian gunmen with rampages in Palestinian towns and villages.

So, the area was already at boiling point before the Hamas assault on Israel on 7 October.

In the weeks since then, the UN says some 200 Palestinians have been killed by Israeli troops or settlers in a new escalation of the conflict. Four Israelis have been killed by Palestinians.

Even as Israel has been fighting a war with Hamas in Gaza, it has tightened its controls on the West Bank in a bid to prevent a spill-over of the conflict.

But this appears only to have further undermined the Palestinian Authority and boosted the rise of militant groups in Jenin and beyond."
Article 10;www.bbc.co.uk;Weeks into the war, how much closer is Israel to its goal?;None;;closer, hamas, long, war, israel, goal, forces, months, fighting, westernbacked, used, weeks;"It's nearly two weeks since Israel launched its ground offensive into Gaza and more than a month since it began intensive air strikes against Hamas, all in response to the brutal attacks in Israel in which about 1,200 people were killed.
How much closer is it to achieving that goal, and is it achievable?
As far as Israel is concerned, these are still early days - it has repeatedly said that this operation will be long and difficult.
One senior Israel Defense Forces (IDF) official who spoke to the BBC used the analogy of a boxing match: ""This is just round four of 15.""
No-one in Israel is saying exactly how long the war will last.";"It's nearly two weeks since Israel launched its ground offensive into Gaza and more than a month since it began intensive air strikes against Hamas, all in response to the brutal attacks in Israel in which about 1,200 people were killed.

Israel's stated military objective from the outset has been to destroy Hamas, militarily and politically. How much closer is it to achieving that goal, and is it achievable?

As far as Israel is concerned, these are still early days - it has repeatedly said that this operation will be long and difficult. One senior Israel Defense Forces (IDF) official who spoke to the BBC used the analogy of a boxing match: ""This is just round four of 15.""

No-one in Israel is saying exactly how long the war will last. Some point to the fact that it took nine months for Western-backed Iraqi forces to retake the city of Mosul from the Islamic State (IS)group in 2017. Israel may want to carry on fighting for several more months, though it may not control the timetable, as international pressure for pauses in the fighting or even a ceasefire are growing."
